utc,session,region,category,bloom,quality,correct,timeTakenSec,encounterId
2026-07-06T11:26:17.2323143Z,20260706_112126,,History,remember,CorrectFast,1,1.73,demo_encounter
2026-07-06T15:59:16.4828622Z,20260706_155916,china,Architecture,remember,Correct,1,6.02,china_rumor
2026-07-06T15:59:26.5295703Z,20260706_155916,china,Architecture,remember,CorrectFast,1,1.59,china_rumor
2026-07-06T16:00:39.6668121Z,20260706_155916,china,Geography,remember,TimedOut,0,12.00,china_boss
2026-07-06T16:00:53.9795956Z,20260706_155916,china,Geography,remember,Wrong,0,7.34,china_boss
2026-07-06T16:01:03.6291173Z,20260706_155916,china,Philosophy,remember,Wrong,0,3.52,china_boss
2026-07-06T16:01:12.3987455Z,20260706_155916,china,Geography,remember,Wrong,0,1.80,china_boss
2026-07-06T16:06:25.5350373Z,20260706_160625,china,Architecture,remember,CorrectFast,1,2.33,china_rumor
2026-07-06T16:07:28.3390357Z,20260706_160625,china,Philosophy,remember,TimedOut,0,12.01,china_fallacy
2026-07-06T16:08:31.1210802Z,20260706_160625,china,Culture,remember,CorrectFast,1,2.01,china_fallacy
2026-07-06T16:08:39.1453070Z,20260706_160625,china,Culture,remember,CorrectFast,1,1.69,china_fallacy
2026-07-08T20:48:25.4850645Z,20260708_204825,,Geography,understand,Wrong,0,0.50,finale_boss
2026-07-08T20:48:31.9154324Z,20260708_204825,,Geography,understand,Wrong,0,0.51,finale_boss
2026-07-08T21:39:02.8749748Z,20260708_213902,,Geography,understand,CorrectFast,1,2.52,finale_boss
2026-07-08T21:39:11.7175872Z,20260708_213902,,Geography,understand,CorrectFast,1,1.07,finale_boss
2026-07-08T21:39:18.7488484Z,20260708_213902,,Geography,understand,Wrong,0,0.69,finale_boss
2026-07-08T21:39:49.4987170Z,20260708_213902,,Geography,understand,CorrectFast,1,2.66,finale_boss
2026-07-08T21:39:55.4514000Z,20260708_213902,,Geography,understand,CorrectFast,1,0.56,finale_boss
2026-07-08T21:40:02.8264210Z,20260708_213902,,Architecture,understand,CorrectFast,1,1.31,finale_boss
2026-07-08T23:57:05.8312424Z,20260708_235705,,Geography,understand,Wrong,0,0.75,finale_boss
2026-07-08T23:57:13.3753682Z,20260708_235705,,Geography,understand,Wrong,0,1.38,finale_boss
2026-07-08T23:57:19.3747956Z,20260708_235705,,Geography,understand,Wrong,0,0.64,finale_boss
2026-07-08T23:58:36.0701040Z,20260708_235705,,Geography,understand,CorrectFast,1,2.17,finale_boss
2026-07-08T23:58:43.5112157Z,20260708_235705,,Culture,understand,CorrectFast,1,1.87,finale_boss
2026-07-08T23:58:52.1743377Z,20260708_235705,,Geography,understand,CorrectFast,1,3.01,finale_boss
2026-07-08T23:58:58.7445351Z,20260708_235705,,Philosophy,understand,CorrectFast,1,0.85,finale_boss
2026-07-08T23:59:05.9265477Z,20260708_235705,,Geography,understand,Wrong,0,1.21,finale_boss
2026-07-08T23:59:13.0378874Z,20260708_235705,,Architecture,understand,CorrectFast,1,1.99,finale_boss
2026-07-09T12:40:51.0107675Z,20260709_124051,china,Architecture,remember,Wrong,0,3.18,china_rumor
2026-07-09T12:41:00.0713514Z,20260709_124051,china,Architecture,remember,Wrong,0,1.40,china_rumor
2026-07-09T12:41:07.5856185Z,20260709_124051,china,Architecture,remember,CorrectFast,1,1.36,china_rumor
2026-07-10T12:36:20.2565144Z,20260710_123620,,Geography,understand,CorrectFast,1,2.22,finale_boss
2026-07-10T12:36:27.1732187Z,20260710_123620,,Geography,understand,CorrectFast,1,0.89,finale_boss
2026-07-10T12:36:34.7041779Z,20260710_123620,,Geography,understand,Wrong,0,1.07,finale_boss
2026-07-10T12:37:03.3293260Z,20260710_123620,,Geography,understand,Wrong,0,1.07,finale_boss
2026-07-10T12:37:08.8858733Z,20260710_123620,,Geography,understand,CorrectFast,1,0.76,finale_boss
2026-07-10T12:37:17.5827165Z,20260710_123620,,Architecture,understand,CorrectFast,1,1.62,finale_boss
2026-07-10T12:37:24.1821591Z,20260710_123620,,History,understand,CorrectFast,1,1.11,finale_boss
2026-07-10T12:37:31.5813829Z,20260710_123620,,Geography,understand,CorrectFast,1,0.85,finale_boss
2026-07-10T12:37:38.2303703Z,20260710_123620,,Architecture,understand,CorrectFast,1,0.78,finale_boss
2026-07-10T12:37:47.0256445Z,20260710_123620,,Geography,understand,CorrectFast,1,3.61,finale_boss
2026-07-10T19:34:52.1376029Z,20260710_193452,china,Architecture,remember,CorrectFast,1,2.29,china_rumor
2026-07-10T19:35:35.5654462Z,20260710_193452,china,Geography,remember,CorrectFast,1,4.21,china_boss
2026-07-10T19:35:48.3766413Z,20260710_193452,china,Geography,remember,Wrong,0,7.38,china_boss
2026-07-10T19:35:55.5267474Z,20260710_193452,china,Geography,remember,Wrong,0,1.59,china_boss
2026-07-10T19:36:02.2588983Z,20260710_193452,china,Geography,remember,CorrectFast,1,1.39,china_boss
2026-07-10T19:36:09.9399395Z,20260710_193452,china,History,remember,CorrectFast,1,2.29,china_boss
2026-07-10T19:36:17.3812393Z,20260710_193452,china,Architecture,understand,CorrectFast,1,1.19,china_boss
2026-07-10T19:36:24.5724507Z,20260710_193452,china,Architecture,understand,CorrectFast,1,0.83,china_boss
2026-07-10T19:37:14.5212163Z,20260710_193452,egypt,Geography,remember,Wrong,0,2.47,egypt_oblivion
2026-07-10T19:37:21.1118638Z,20260710_193452,egypt,Geography,remember,CorrectFast,1,0.76,egypt_oblivion
2026-07-10T19:37:27.1392966Z,20260710_193452,egypt,Geography,remember,CorrectFast,1,0.84,egypt_oblivion
2026-07-10T19:37:44.3316089Z,20260710_193452,egypt,Culture,remember,CorrectFast,1,3.14,egypt_false
2026-07-10T19:37:51.4111549Z,20260710_193452,egypt,Culture,remember,Wrong,0,0.81,egypt_false
2026-07-10T19:37:59.1894851Z,20260710_193452,egypt,Culture,remember,Wrong,0,1.95,egypt_false
2026-07-10T19:38:22.0634216Z,20260710_193452,egypt,Architecture,remember,CorrectFast,1,2.06,egypt_sand
2026-07-10T19:38:28.5376811Z,20260710_193452,egypt,Architecture,remember,Wrong,0,1.17,egypt_sand
2026-07-10T19:39:07.2264346Z,20260710_193452,egypt,History,remember,Wrong,0,3.10,egypt_boss
2026-07-10T19:39:15.6334379Z,20260710_193452,egypt,History,remember,Wrong,0,2.06,egypt_boss
2026-07-10T19:39:22.0583187Z,20260710_193452,egypt,History,remember,CorrectFast,1,1.34,egypt_boss
2026-07-10T19:39:30.4969610Z,20260710_193452,egypt,History,remember,CorrectFast,1,2.31,egypt_boss
2026-07-10T19:39:36.9632427Z,20260710_193452,egypt,Philosophy,understand,CorrectFast,1,1.18,egypt_boss
2026-07-10T19:39:43.4922618Z,20260710_193452,egypt,Philosophy,understand,CorrectFast,1,1.40,egypt_boss
2026-07-10T19:39:49.2216787Z,20260710_193452,egypt,Geography,understand,CorrectFast,1,0.70,egypt_boss
2026-07-10T19:40:44.5358192Z,20260710_193452,greece,Architecture,remember,CorrectFast,1,3.08,greece_sophist
2026-07-10T19:40:50.9466082Z,20260710_193452,greece,Architecture,remember,Wrong,0,1.04,greece_sophist
2026-07-10T19:40:56.3315596Z,20260710_193452,greece,Architecture,remember,Wrong,0,0.60,greece_sophist
2026-07-10T19:41:45.3724924Z,20260710_193452,greece,Culture,remember,Wrong,0,1.41,greece_boss
2026-07-10T19:41:54.3872167Z,20260710_193452,greece,Culture,remember,CorrectFast,1,3.59,greece_boss
2026-07-10T19:42:02.0009750Z,20260710_193452,greece,Culture,remember,CorrectFast,1,2.31,greece_boss
2026-07-10T19:42:12.5554241Z,20260710_193452,greece,Architecture,remember,Correct,1,5.28,greece_boss
2026-07-10T19:42:23.2275939Z,20260710_193452,greece,Architecture,remember,CorrectFast,1,3.55,greece_boss
2026-07-10T19:42:29.6921677Z,20260710_193452,greece,Geography,understand,CorrectFast,1,1.11,greece_boss
2026-07-10T19:42:35.9630547Z,20260710_193452,greece,Geography,understand,CorrectFast,1,0.72,greece_boss
2026-07-10T19:43:35.4577729Z,20260710_193452,rome,Architecture,remember,CorrectFast,1,1.16,rome_rumor
2026-07-10T19:43:41.2845902Z,20260710_193452,rome,Architecture,remember,CorrectFast,1,0.82,rome_rumor
2026-07-10T19:44:24.1474941Z,20260710_193452,rome,History,remember,Wrong,0,2.53,rome_boss
2026-07-10T19:44:34.6134386Z,20260710_193452,rome,History,remember,Wrong,0,5.06,rome_boss
2026-07-10T19:44:44.3467250Z,20260710_193452,rome,History,remember,CorrectFast,1,2.92,rome_boss
2026-07-10T19:44:53.9244336Z,20260710_193452,rome,History,remember,CorrectFast,1,2.98,rome_boss
2026-07-10T19:45:04.6692962Z,20260710_193452,rome,Geography,remember,CorrectFast,1,4.75,rome_boss
2026-07-10T19:45:12.1243133Z,20260710_193452,rome,Geography,remember,CorrectFast,1,0.91,rome_boss
2026-07-10T19:45:18.1664116Z,20260710_193452,rome,Philosophy,understand,CorrectFast,1,0.72,rome_boss
2026-07-10T19:45:24.2641548Z,20260710_193452,rome,Philosophy,understand,CorrectFast,1,0.72,rome_boss
2026-07-10T19:48:53.9335388Z,20260710_193452,trade,Architecture,remember,CorrectFast,1,3.39,trade_rumor
2026-07-10T19:48:59.9784481Z,20260710_193452,trade,Architecture,remember,CorrectFast,1,0.88,trade_rumor
2026-07-10T19:49:39.7786754Z,20260710_193452,trade,Philosophy,understand,CorrectFast,1,0.83,trade_boss
2026-07-10T19:49:45.3211793Z,20260710_193452,trade,Philosophy,understand,CorrectFast,1,0.62,trade_boss
2026-07-10T19:49:52.1980836Z,20260710_193452,trade,Architecture,understand,CorrectFast,1,1.46,trade_boss
2026-07-10T19:49:59.8374580Z,20260710_193452,trade,Architecture,understand,CorrectFast,1,1.04,trade_boss
2026-07-10T19:50:06.8750083Z,20260710_193452,trade,Geography,understand,CorrectFast,1,1.27,trade_boss
2026-07-10T19:50:25.8728250Z,20260710_193452,trade,Geography,understand,Wrong,0,7.85,trade_boss
2026-07-10T19:50:34.2833460Z,20260710_193452,trade,Geography,understand,CorrectFast,1,2.89,trade_boss
2026-07-10T19:53:34.0017834Z,20260710_193452,,Geography,understand,CorrectFast,1,1.58,finale_boss
2026-07-10T19:53:40.4813992Z,20260710_193452,,Geography,understand,CorrectFast,1,0.86,finale_boss
2026-07-10T19:53:47.8839851Z,20260710_193452,,Geography,understand,Wrong,0,1.11,finale_boss
2026-07-10T19:56:40.5473681Z,20260710_193452,,Geography,understand,CorrectFast,1,2.10,finale_boss
2026-07-10T19:56:46.9952244Z,20260710_193452,,Geography,understand,CorrectFast,1,1.23,finale_boss
2026-07-10T19:56:53.6061508Z,20260710_193452,,History,understand,CorrectFast,1,0.70,finale_boss
2026-07-10T19:57:02.2585586Z,20260710_193452,,History,understand,CorrectFast,1,2.10,finale_boss
2026-07-10T19:57:09.5295058Z,20260710_193452,,Geography,understand,CorrectFast,1,2.38,finale_boss
2026-07-10T19:57:20.0342332Z,20260710_193452,,Philosophy,understand,CorrectFast,1,3.60,finale_boss
2026-07-11T02:24:52.2623609Z,20260711_022452,greece,Architecture,remember,CorrectFast,1,0.76,greece_sophist
2026-07-11T03:05:25.8809048Z,20260711_030525,,Geography,understand,CorrectFast,1,0.93,finale_boss
2026-07-11T03:05:32.1089380Z,20260711_030525,,Geography,understand,CorrectFast,1,0.50,finale_boss
2026-07-11T03:05:39.5832063Z,20260711_030525,,Geography,understand,CorrectFast,1,1.93,finale_boss
2026-07-11T03:12:36.9169057Z,20260711_031236,,Geography,understand,Wrong,0,0.71,finale_boss
2026-07-11T03:12:42.6593756Z,20260711_031236,,Geography,understand,CorrectFast,1,0.56,finale_boss
2026-07-11T03:12:49.1029046Z,20260711_031236,,Geography,understand,Wrong,0,1.14,finale_boss
2026-07-11T12:10:00.5746954Z,20260711_121000,,Geography,understand,CorrectFast,1,1.36,finale_boss
2026-07-11T12:10:12.0294342Z,20260711_121000,,Geography,understand,CorrectFast,1,2.02,finale_boss
2026-07-11T12:10:20.0778386Z,20260711_121000,,Geography,understand,CorrectFast,1,1.46,finale_boss
2026-07-11T12:12:20.9261167Z,20260711_121000,,Geography,understand,CorrectFast,1,0.86,finale_boss
2026-07-11T12:12:27.4696911Z,20260711_121000,,History,understand,CorrectFast,1,0.92,finale_boss
2026-07-11T12:12:33.4825969Z,20260711_121000,,History,understand,CorrectFast,1,0.77,finale_boss
2026-07-11T12:12:40.2137857Z,20260711_121000,,History,understand,CorrectFast,1,0.66,finale_boss
2026-07-11T21:18:43.3209501Z,20260711_211843,,Geography,understand,CorrectFast,1,1.21,finale_boss
2026-07-11T21:18:49.8936684Z,20260711_211843,,History,understand,CorrectFast,1,1.09,finale_boss
2026-07-11T21:18:56.2944346Z,20260711_211843,,Culture,understand,CorrectFast,1,0.99,finale_boss
2026-07-11T21:19:02.7551280Z,20260711_211843,,Philosophy,understand,CorrectFast,1,0.94,finale_boss
2026-07-11T21:53:34.0534479Z,20260711_215334,,Geography,understand,CorrectFast,1,0.86,finale_boss
2026-07-11T21:53:41.8286741Z,20260711_215334,,Geography,understand,CorrectFast,1,2.99,finale_boss
2026-07-11T21:53:47.7753261Z,20260711_215334,,Geography,understand,CorrectFast,1,1.12,finale_boss
2026-07-11T21:53:53.3888155Z,20260711_215334,,Architecture,understand,CorrectFast,1,0.94,finale_boss
2026-07-15T18:31:13.4023234Z,20260715_183113,china,Architecture,remember,Wrong,0,1.03,china_rumor
2026-07-15T18:31:21.1855372Z,20260715_183113,china,Architecture,remember,CorrectFast,1,1.80,china_rumor
2026-07-15T18:32:34.6533846Z,20260715_183113,china,Geography,remember,Wrong,0,0.83,china_boss
2026-07-15T18:32:41.4978957Z,20260715_183113,china,Geography,remember,Wrong,0,1.00,china_boss
2026-07-15T18:32:48.9102920Z,20260715_183113,china,Geography,remember,Wrong,0,1.91,china_boss
2026-07-15T18:32:54.7293148Z,20260715_183113,china,Geography,remember,CorrectFast,1,0.74,china_boss
2026-07-15T18:33:02.6467715Z,20260715_183113,china,Geography,remember,CorrectFast,1,2.66,china_boss
2026-07-15T18:33:11.9224668Z,20260715_183113,china,History,remember,CorrectFast,1,4.22,china_boss
2026-07-15T18:33:18.2525822Z,20260715_183113,china,Architecture,understand,CorrectFast,1,0.84,china_boss
2026-07-15T18:33:24.6999385Z,20260715_183113,china,Architecture,remember,CorrectFast,1,1.53,china_boss
2026-07-19T04:49:42.9057004Z,20260719_044942,,Geography,understand,CorrectFast,1,0.97,finale_boss
2026-07-19T04:49:51.0891261Z,20260719_044942,,Geography,understand,CorrectFast,1,1.65,finale_boss
2026-07-19T04:49:57.7896155Z,20260719_044942,,Geography,understand,CorrectFast,1,0.83,finale_boss
2026-07-19T04:53:18.3662932Z,20260719_044942,,Geography,understand,CorrectFast,1,1.15,finale_boss
2026-07-19T04:53:25.9659916Z,20260719_044942,,Philosophy,understand,CorrectFast,1,1.14,finale_boss
2026-07-19T04:53:35.7169853Z,20260719_044942,,Architecture,understand,CorrectFast,1,1.24,finale_boss
2026-07-19T04:53:44.0584398Z,20260719_044942,,Philosophy,understand,CorrectFast,1,1.08,finale_boss
2026-07-19T05:17:01.1127152Z,20260719_051701,,Geography,understand,CorrectFast,1,0.34,finale_boss
2026-07-19T05:17:05.7874150Z,20260719_051701,,Philosophy,understand,Wrong,0,0.80,finale_boss
2026-07-19T05:17:10.3329146Z,20260719_051701,,Geography,understand,CorrectFast,1,0.70,finale_boss
2026-07-19T05:17:22.8084398Z,20260719_051701,,Philosophy,understand,CorrectFast,1,0.95,finale_boss
2026-07-19T05:17:29.2218545Z,20260719_051701,,Culture,understand,CorrectFast,1,0.75,finale_boss
2026-07-19T05:17:35.4733917Z,20260719_051701,,Culture,understand,CorrectFast,1,0.77,finale_boss
2026-07-19T05:17:41.2544569Z,20260719_051701,,Architecture,understand,CorrectFast,1,0.78,finale_boss
2026-07-19T05:17:47.4065639Z,20260719_051701,,Geography,understand,CorrectFast,1,0.90,finale_boss
2026-07-19T05:17:53.4383867Z,20260719_051701,,Philosophy,understand,CorrectFast,1,0.68,finale_boss
2026-07-19T05:17:59.2791204Z,20260719_051701,,Culture,understand,Wrong,0,1.21,finale_boss
2026-07-19T05:18:05.5964621Z,20260719_051701,,History,understand,CorrectFast,1,0.77,finale_boss
2026-07-19T05:18:12.5111721Z,20260719_051701,,Geography,understand,CorrectFast,1,1.49,finale_boss
2026-07-19T05:18:18.4210676Z,20260719_051701,,Geography,understand,Wrong,0,1.15,finale_boss
2026-07-19T05:18:24.7819130Z,20260719_051701,,Philosophy,understand,CorrectFast,1,0.69,finale_boss
2026-07-19T05:18:30.8001547Z,20260719_051701,,Philosophy,understand,CorrectFast,1,0.87,finale_boss
2026-07-19T05:18:36.5358859Z,20260719_051701,,Architecture,understand,CorrectFast,1,0.90,finale_boss
2026-07-19T05:18:44.0708370Z,20260719_051701,,Philosophy,understand,CorrectFast,1,2.02,finale_boss
2026-07-19T05:18:50.5034286Z,20260719_051701,,Philosophy,understand,CorrectFast,1,1.02,finale_boss
2026-07-19T05:19:56.3392864Z,20260719_051701,,Geography,understand,Wrong,0,0.48,finale_boss
2026-07-19T05:20:01.6630724Z,20260719_051701,,Geography,understand,Wrong,0,0.45,finale_boss
2026-07-19T05:20:06.1637203Z,20260719_051701,,Geography,understand,Wrong,0,0.32,finale_boss
2026-07-20T02:10:33.0194642Z,20260720_021033,,Geography,understand,Wrong,0,1.11,finale_boss
2026-07-20T02:10:42.4681012Z,20260720_021033,,Geography,understand,CorrectFast,1,0.92,finale_boss
2026-07-20T02:10:50.7734008Z,20260720_021033,,Philosophy,understand,Wrong,0,0.71,finale_boss
2026-07-20T02:12:38.3417345Z,20260720_021033,,Geography,understand,CorrectFast,1,1.50,finale_boss
2026-07-20T02:12:46.3822088Z,20260720_021033,,Geography,understand,Wrong,0,1.62,finale_boss
2026-07-20T02:12:56.9972725Z,20260720_021033,,History,understand,CorrectFast,1,1.39,finale_boss
2026-07-20T02:13:04.4391396Z,20260720_021033,,Culture,understand,CorrectFast,1,1.05,finale_boss
2026-07-20T02:13:10.2695754Z,20260720_021033,,Geography,understand,CorrectFast,1,0.90,finale_boss
2026-07-20T02:13:16.4873824Z,20260720_021033,,Philosophy,understand,CorrectFast,1,0.65,finale_boss
2026-07-20T02:13:23.4549665Z,20260720_021033,,History,understand,CorrectFast,1,0.76,finale_boss
2026-07-20T02:13:32.1427283Z,20260720_021033,,Architecture,understand,CorrectFast,1,0.89,finale_boss
2026-07-20T02:13:39.4232257Z,20260720_021033,,Geography,understand,CorrectFast,1,0.62,finale_boss
2026-07-20T02:14:01.6062959Z,20260720_021033,,Culture,understand,CorrectFast,1,0.93,finale_boss
2026-07-20T02:14:09.8378422Z,20260720_021033,,Geography,understand,CorrectFast,1,1.19,finale_boss
2026-07-20T02:14:15.5647806Z,20260720_021033,,Geography,understand,CorrectFast,1,0.72,finale_boss
2026-07-20T02:14:22.8055764Z,20260720_021033,,Philosophy,understand,CorrectFast,1,0.88,finale_boss
2026-07-20T02:14:30.1088516Z,20260720_021033,,History,understand,CorrectFast,1,0.87,finale_boss
2026-07-20T02:14:36.7755126Z,20260720_021033,,Geography,understand,Wrong,0,0.69,finale_boss
2026-07-20T02:14:42.1847138Z,20260720_021033,,Geography,understand,CorrectFast,1,0.65,finale_boss
2026-07-20T02:14:47.7259640Z,20260720_021033,,Geography,understand,CorrectFast,1,0.55,finale_boss
2026-07-20T02:14:52.8867358Z,20260720_021033,,Philosophy,understand,CorrectFast,1,0.56,finale_boss
2026-07-20T02:14:58.8560057Z,20260720_021033,,Culture,understand,CorrectFast,1,0.69,finale_boss
2026-07-20T02:15:06.3317398Z,20260720_021033,,Geography,understand,CorrectFast,1,0.70,finale_boss
2026-07-20T02:34:10.5887929Z,20260720_023410,,Philosophy,understand,CorrectFast,1,0.24,finale_boss
2026-07-20T02:34:19.5386694Z,20260720_023410,,Geography,understand,Wrong,0,0.28,finale_boss
2026-07-20T02:34:24.4572280Z,20260720_023410,,History,understand,Wrong,0,0.67,finale_boss
2026-07-20T03:45:11.7567273Z,20260720_034511,,Geography,understand,CorrectFast,1,0.45,finale_boss
2026-07-20T03:45:17.4891436Z,20260720_034511,,Geography,understand,CorrectFast,1,0.57,finale_boss
2026-07-20T03:45:24.7676418Z,20260720_034511,,Geography,understand,Wrong,0,0.30,finale_boss
2026-07-20T03:45:47.1761612Z,20260720_034511,,Architecture,understand,CorrectFast,1,0.86,finale_boss
2026-07-20T03:45:54.5039914Z,20260720_034511,,Geography,understand,CorrectFast,1,0.50,finale_boss
2026-07-20T03:46:02.2078654Z,20260720_034511,,Geography,understand,CorrectFast,1,0.83,finale_boss
2026-07-20T03:46:11.1352316Z,20260720_034511,,Culture,understand,CorrectFast,1,1.04,finale_boss
2026-07-20T03:46:20.7246649Z,20260720_034511,,History,understand,CorrectFast,1,0.80,finale_boss
2026-07-20T03:46:28.0950947Z,20260720_034511,,Philosophy,understand,CorrectFast,1,0.56,finale_boss
2026-07-20T03:46:34.4770022Z,20260720_034511,,Culture,understand,CorrectFast,1,0.64,finale_boss
2026-07-20T03:46:40.8592140Z,20260720_034511,,Geography,understand,Wrong,0,0.67,finale_boss
2026-07-20T03:46:46.6421475Z,20260720_034511,,Philosophy,understand,CorrectFast,1,0.67,finale_boss
2026-07-20T03:46:53.6968200Z,20260720_034511,,History,understand,Wrong,0,0.75,finale_boss
2026-07-20T03:47:00.7760354Z,20260720_034511,,History,understand,CorrectFast,1,1.26,finale_boss
2026-07-20T03:47:07.7281783Z,20260720_034511,,History,remember,CorrectFast,1,1.02,finale_boss
2026-07-20T04:09:20.3173860Z,20260720_040920,china,Architecture,remember,Wrong,0,0.92,china_rumor
2026-07-20T04:09:29.4294340Z,20260720_040920,china,Architecture,remember,CorrectFast,1,0.94,china_rumor
2026-07-20T04:09:58.6908734Z,20260720_040920,china,Culture,remember,Wrong,0,0.00,china_fallacy
2026-07-20T04:10:06.0214744Z,20260720_040920,china,Culture,remember,CorrectFast,1,0.92,china_fallacy
2026-07-20T04:22:02.4207473Z,20260720_042202,egypt,Geography,remember,Wrong,0,0.00,egypt_oblivion
2026-07-20T04:22:09.8529671Z,20260720_042202,egypt,Geography,remember,Wrong,0,0.00,egypt_oblivion
2026-07-20T04:22:18.1573901Z,20260720_042202,egypt,Geography,remember,CorrectFast,1,0.85,egypt_oblivion
2026-07-20T04:22:36.6101016Z,20260720_042202,egypt,Culture,remember,Wrong,0,0.00,egypt_false
2026-07-20T04:22:43.1447511Z,20260720_042202,egypt,Culture,remember,Wrong,0,0.67,egypt_false
2026-07-20T04:22:49.3657342Z,20260720_042202,egypt,Culture,remember,CorrectFast,1,0.81,egypt_false
