event_name,category,subcategory,duration,is_competitive,competition_form,reward_structure,main_mechanic,reuse_count,first_seen,requires_purchase,source_url,notes,page_status
"Kitchen Merging Events (类型, 总览页未列具体活动名)",Rare and Obsolete,Kitchen Merging,,unknown,,,"在游戏初期脏乱厨房板的复制板上做合成, 为平时不点单的角色(Sophia/Quinn)做订单 [EV]",,,,https://gossip-harbor.fandom.com/wiki/Rare_and_Obsolete_Events,"已淘汰活动类型; Rare_and_Obsolete_Events 分类页无快照, 无具体活动名",overview_only(no_snapshot)
Purrfect Pet Party,Merging,Multilevel,,false,个人里程碑,Cat Care Tools 链 lv5-12、Furry Friends 链 lv5-6 等级奖励(与通用多层活动表一致) [PG],多层板合成活动 [PG],,,false,https://gossip-harbor.fandom.com/wiki/Purrfect_Pet_Party,总览页未列; 文章创建 2025-11-02 [MP]; 主页记'单层与多层合成活动奖励相同',archived_page
Tony's Bravery Test,Merging,Cloudy,,false,个人里程碑,"Giggling Ghosts lv5-10 / Mystic Manuals lv4-8 等级奖励, 箱子/幽灵坩埚给道具 [PG]","云雾板合成活动(万圣节题材: 幽灵/魔法书/蜘蛛饼干, 用镰刀挖墓) [PG]",,,false,https://gossip-harbor.fandom.com/wiki/Tony%E2%80%99s_Bravery_Test,总览页未列; 文章创建 2025-10-23 [MP],archived_page
Fortune Favors the Bold,Decoration,,,false,个人里程碑,"8 个阶段, 每阶段 3 件装饰(共 24 件) [PG]",公园广场装饰活动 [PG]; 用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,2026-02,false,https://gossip-harbor.fandom.com/wiki/Fortune_Favors_the_Bold,页面原文'was the February 2026 decoration event for the Park Square' → 装饰活动按月一档; 快照 2026-03-27,archived_page
Tidal Beats Fest,,,,true,"排行榜(分 Newcomer/Apprentice 等段位阶段, 各阶段前三名)",每阶段 1st/2nd/3rd 名奖励(Fancy Order Case/刮刮卡/能量 75-150) [PG],"页面未写玩法, 仅奖励表",,,false,https://gossip-harbor.fandom.com/wiki/Tidal_Beats_Fest,总览页未列; 文章创建 2025-10-25 [MP]; 类型未写(疑似玩家竞赛类),archived_page
Card Collection Event,,,over a month [PG],false,个人里程碑,集齐 9 张/套得奖; 集满相册可再刷 Prestige Album(第二轮)得 Generous Pack; 重复卡在 Star Store 换包 [PG],通过订单/活动/Restaurant Goals/Seasons 获得卡包集卡 [PG],4,,false,https://gossip-harbor.fandom.com/wiki/Card_Collection_Event,总览页未列(归 Game Mechanics); reuse=已知相册名: Easter Get-together、Joyful Moments [PG] + Tour the Cosmos、Birthday Party [UL]; 期间未用重复卡不结转,archived_page
Seasons (赛季通行证),,,1 month [PG],false,个人里程碑,"免费轨+VIP Pass/Super Pass 付费轨; 45 级积分里程碑(lv2=110 … lv42=7000); 免费轨固定送 1 Energy Chest, VIP 送 150 能量 [PG]",24 小时限时任务(赚硬币/服务顾客/花宝石)+累计合成 100 次得积分升级 [PG],2,,false,https://gossip-harbor.fandom.com/wiki/Seasons,总览页未列(归 Game Mechanics); reuse=页面截图 Sep-Oct 2025 与 Oct-Nov 2025 两季; 奖励每季变动(2025-06-24 起不再固定) [UL]; 付费通行证可选,archived_page
Endless Energy,,,,false,个人里程碑,"15 轮阶梯: 免费卡包/能量与付费能量交替, 100 能量售价 10→20→40→80→160 宝石 [PG]",花宝石买能量并解锁后续免费奖励 [PG]; 周二/三 00:00 GMT 出现 [PG],,,false,https://gossip-harbor.fandom.com/wiki/Endless_Energy,"总览页未列; 需消耗宝石(游戏内货币, 可付费获得)但非强制真钱; 有卡牌活动期间奖励换成卡包 [PG]; 文章创建 2025-04-15 [UL]",archived_page
Purrfect Progress,Merging,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Purrfect_Progress,"总览页未列出; 页面 2025-10-19~20 创建, 10-21 补齐全部目标与奖励 [UL]; 主页记其奖励与单层/多层合成活动相同 → 合成活动",log_only(no_snapshot)
The Dark Zone,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/The_Dark_Zone,总览页未列出; 页面 2025-10-19~20 创建 [UL],log_only(no_snapshot)
A Spectral Shindig,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/A_Spectral_Shindig,总览页未列出; 页面 2025-10-17~18 创建(万圣节档) [UL],log_only(no_snapshot)
All Hallows Haunts,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/All_Hallows_Haunts,总览页未列出; 页面 2025-10-23 创建 [MP],log_only(no_snapshot)
Puzzles,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Puzzles,"总览页未列出; 2025-10-23 创建, 10-24 补齐'第一个 puzzle'全部奖励 [MP]",log_only(no_snapshot)
The Mage's Fortune,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/The_Mage%E2%80%99s_Fortune,总览页未列出; 2025-10-25 创建 [MP],log_only(no_snapshot)
Flower Fellowship,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Flower_Fellowship,"总览页未列出; 2025-10-10~16 更新(与 Cloudy/Digging Events 页同批更新, 类型未明) [UL]",log_only(no_snapshot)
Fall Foliage Favors,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Fall_Foliage_Favors,"总览页未列出; 2025-09-18~10-07 创建(同批更新 Digging Event 页, 类型未明) [UL]",log_only(no_snapshot)
Golden Moon Banquet,Decoration,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Golden_Moon_Banquet,总览页未列出; 2025-09-18~10-07 '添加了若干装饰' → 装饰活动(中秋档) [UL],log_only(no_snapshot)
Water Rival Race,,,,true,排行榜(轮次含 1st place 奖励),,,,,,https://gossip-harbor.fandom.com/wiki/Water_Rival_Race,"总览页未列出; 2025-08-28 创建, 08-29 '除第 1 轮与第 7 轮一个 1st place 奖励外全部奖励已加' → ≥7 轮按名次 [UL]; 主页 10-26 记其活动点计算方式与其他活动不同",log_only(no_snapshot)
Happy Campers,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Happy_Campers,总览页未列出; 2025-09-13 创建 [UL],log_only(no_snapshot)
Roadtrip Dreams,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Roadtrip_Dreams,总览页未列出; 2025-09-07 创建 [UL],log_only(no_snapshot)
Pups and Paintings,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Pups_and_Paintings,总览页未列出; 2025-09-05 创建 [UL],log_only(no_snapshot)
Scuba Diving Summer,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Scuba_Diving_Summer,总览页未列出; 2025-09-04 '全部 undersea buddies 已加' [UL],log_only(no_snapshot)
Barking Bobbies,Decoration,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Barking_Bobbies,"总览页未列出; 2025-08-28 创建, 09-04 '其装饰条目已加' → 装饰活动 [UL]",log_only(no_snapshot)
Double Pack Party,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Double_Pack_Party,总览页未列出; 2025-08-24 与 Rare Card Deal 同日创建(类型未明) [UL],log_only(no_snapshot)
Restaurant Recon,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Restaurant_Recon,"总览页未列出; 2025-08-11 创建; 08-15 '寿司全部奖励已加, 缺最后 trinket'; 08-21 全部道具配图(类型未明) [UL]",log_only(no_snapshot)
Tony's Panda Posse,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Tony%E2%80%99s_Panda_Posse,"总览页未列出; 2025-08-20 创建(Tony 系列此前均为云雾板, 本活动类型未明) [UL]",log_only(no_snapshot)
The Joker,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/The_Joker,总览页未列出; 2025-08-17 创建 [UL],log_only(no_snapshot)
Heart2Heart,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Heart2Heart,总览页未列出; 2025-08-17 创建 [UL],log_only(no_snapshot)
Besties' Shopping Day,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Besties%E2%80%99_Shopping_Day,"总览页未列出; 2025-08-12 创建, '多数玩家没有拿到这个活动'(疑似分组投放/AB 测试) [UL]",log_only(no_snapshot)
Birthday Party,Card Collection (album),,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Birthday_Party,"总览页未列出; 2025-08-11 创建, 08-15 '加了若干卡' → 卡牌收集相册(3 周年档) [UL]",log_only(no_snapshot)
Triennial Triumph,Decoration,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Triennial_Triumph,"总览页未列出; 2025-08-08 创建, 08-09 '阶段 1-3 全部装饰已建' → 装饰活动(3 周年) [UL]; Luminous Ducks 页确认为其装饰",log_only(no_snapshot)
Norman's Monster Hunt,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Norman%E2%80%99s_Monster_Hunt,"总览页未列出; 2025-07-26 创建, 07-27~28 '更多积分信息' → 积分制 [UL]",log_only(no_snapshot)
Tony's Vineyard Ventures,Merging,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Tony%27s_Vineyard_Ventures,"总览页未列出; 2025-07-17 创建(活动尚未开始), 07-27~28 '活动已结束…活动复用 sprite' → 合成活动 [UL]",log_only(no_snapshot)
Tour the Cosmos,Card Collection (album),,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Tour_the_Cosmos,总览页未列出; 2025-07-14 加卡图 → 卡牌收集相册 [UL],log_only(no_snapshot)
Easter Egg Quest,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Easter_Egg_Quest,总览页未列出; 2025-04-17 '新活动 Easter Egg Quest' 创建 [UL],log_only(no_snapshot)
Easter Festival Face Off,Other,,,true,排行榜,,,,,,https://gossip-harbor.fandom.com/wiki/Easter_Festival_Face_Off,总览页未列出; Update_Log 2025-04-20: 24-Hour Player Competitions 的当期实例,log_only(no_snapshot)
Easter Get-together,Card Collection (album),,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Easter_Get-together,总览页未列出; 见 Card_Collection_Event 页'Past and Current' 列表 → 卡牌相册,log_only(no_snapshot)
Joyful Moments,Card Collection (album),,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Joyful_Moments,总览页未列出; 见 Card_Collection_Event 页'Past and Current' 列表 → 卡牌相册,log_only(no_snapshot)
Destination Dreamland,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Destination_Dreamland,总览页未列出; 2025-07-04 创建 [UL],log_only(no_snapshot)
Energy Challenge,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Energy_Challenge,总览页未列出; 2025-04-15 创建 [UL],log_only(no_snapshot)
Coconut's Fishy Farming,,,,,,,,,,,https://gossip-harbor.fandom.com/wiki/Coconut%E2%80%99s_Fishy_Farming,总览页未列出; 2025-06-16 创建 [UL],log_only(no_snapshot)
24-Hour Decoration Point Events,,,24 hours (活动名),,,,,,,,https://gossip-harbor.fandom.com/wiki/24-Hour_Decoration_Point_Events,"总览页未列出; 2025-10-14 创建, 10-28 补等级与积分 [UL][MP]; Tips 页: 24 小时装饰活动用 token 换奖励, 剩余 token 不结转",log_only(no_snapshot)
Event Point Player Competitions,,,,true,排行榜,,,,,,https://gossip-harbor.fandom.com/wiki/Event_Point_Player_Competitions,"总览页未列出; 仅见 Multilevel_Events 页链接; wiki 有页, 无快照",log_only(no_snapshot)
