level,episode_idx,episode,type,moves,target_score,goal_text,goal_icons,goal_nums,difficulty,difficulty_rank,remarks
32,3,Lemonade_Lake_(Episode_3),Ingredients,26,50000,: 5,Gummi Dragon order.png,5,Very easy,1,
33,3,Lemonade_Lake_(Episode_3),Order,29,22000,: 37,Icing order new.png,37,Very easy,1,
34,3,Lemonade_Lake_(Episode_3),Jelly,27,25000,: 38 : 24,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,38|24,Easy,2,
35,3,Lemonade_Lake_(Episode_3),Jelly,20,25000,: 5 : 46,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,5|46,Easy,2,unlockedWas the hardest level in the game upon first release
36,4,Chocolate_Mountains,Order,25,4200,: 42,Liquorice Swirl order.png,42,Very easy,1,is introduced
37,4,Chocolate_Mountains,Order,25,6200,: 58,Liquorice Swirl order.png,58,Very easy,1,
38,4,Chocolate_Mountains,Jelly,20,102000,: 21 : 29,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,21|29,Very easy,1,
39,4,Chocolate_Mountains,Jelly,25,20000,: 10,Double jelly-removebg-preview.png,10,,,is introduced is introduced Currently only level in the game to be rated none.
40,4,Chocolate_Mountains,Jelly,25,31000,: 22,Single jelly-removebg-preview (1).png,22,Very easy,1,
41,4,Chocolate_Mountains,Ingredients,27,70000,: 7,Gummi Dragon order.png,7,Very easy,1,
42,4,Chocolate_Mountains,Ingredients,25,31000,: 3,Gummi Dragon order.png,3,Somewhat easy,3,
43,4,Chocolate_Mountains,Jelly,28,10000,: 61 : 16,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,61|16,Somewhat easy,3,
44,4,Chocolate_Mountains,Order,25,30000,: 34,Multilayered frosting 2024 FTUE order.png,34,Very easy,1,
45,4,Chocolate_Mountains,Jelly,25,38000,: 38,Single jelly-removebg-preview (1).png,38,Very easy,1,
46,4,Chocolate_Mountains,Ingredients,28,30000,: 3,Gummi Dragon order.png,3,Hard,6,First level with unsettled candiesFirst version seen in PSY's Gentleman Music Video
47,4,Chocolate_Mountains,Order,25,30000,: 20,Jelly Fish order 2.png,20,Easy,2,
48,4,Chocolate_Mountains,Jelly,25,21000,: 11 : 5,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,11|5,Very easy,1,
49,4,Chocolate_Mountains,Jelly,25,109000,: 33 : 38,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,33|38,Easy,2,
50,4,Chocolate_Mountains,Jelly,24,222000,: 64,Double jelly-removebg-preview.png,64,Somewhat easy,3,Final level upon first release
51,5,Minty_Meadow_(Episode_5),Order,23,3900,: 39,Icing order new.png,39,Very easy,1,is introduced
52,5,Minty_Meadow_(Episode_5),Ingredients,22,30000,: 3,Gummi Dragon order.png,3,Easy,2,Sweet teeth booster formerly unlocked.
53,5,Minty_Meadow_(Episode_5),Jelly,20,130000,: 65,Single jelly-removebg-preview (1).png,65,Very easy,1,
54,5,Minty_Meadow_(Episode_5),Jelly,18,142000,: 71,Double jelly-removebg-preview.png,71,Very easy,1,
55,5,Minty_Meadow_(Episode_5),Order,25,8700,: 15 : 48 : 24,Striped2 (trans).png|Icing order new.png|Liquorice Swirl order.png,15|48|24,Somewhat easy,3,are introduced
56,5,Minty_Meadow_(Episode_5),Ingredients,24,30000,: 3,Gummi Dragon order.png,3,Somewhat easy,3,
57,5,Minty_Meadow_(Episode_5),Ingredients,26,90000,: 8,Gummi Dragon order.png,8,Medium,4,
58,5,Minty_Meadow_(Episode_5),Ingredients,25,30000,: 4,Gummi Dragon order.png,4,Very easy,1,
59,5,Minty_Meadow_(Episode_5),Jelly,27,134000,: 67,Double jelly-removebg-preview.png,67,Somewhat hard,5,
60,5,Minty_Meadow_(Episode_5),Order,30,5000,: 26 : 24,Liquorice Swirl order.png|Icing order new.png,26|24,Easy,2,
61,5,Minty_Meadow_(Episode_5),Jelly,26,132000,: 66,Double jelly-removebg-preview.png,66,Somewhat easy,3,is introduced
62,5,Minty_Meadow_(Episode_5),Order,22,9100,: 25 : 61,Striped2 (trans).png|Icing order new.png,25|61,Medium,4,
63,5,Minty_Meadow_(Episode_5),Jelly,28,108000,: 14 : 47,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,14|47,Easy,2,
64,5,Minty_Meadow_(Episode_5),Ingredients,27,160000,: 17,Gummi Dragon order.png,17,Somewhat easy,3,
65,5,Minty_Meadow_(Episode_5),Order,17,8300,: 77,Icing order new.png,77,Easy,2,is unofficially introduced;Was one of the hardest levels in the game before being nerfed.
66,6,Easter_Bunny_Hills,Jelly,30,92000,: 4 : 40,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,4|40,Very easy,1,is introduced;Former introduction of
67,6,Easter_Bunny_Hills,Ingredients,30,30000,: 3,Gummi Dragon order.png,3,Very easy,1,
68,6,Easter_Bunny_Hills,Jelly,28,94000,: 47,Double jelly-removebg-preview.png,47,Somewhat easy,3,
69,6,Easter_Bunny_Hills,Ingredients,26,10000,: 3,Gummi Dragon order.png,3,Very easy,1,is introduced
70,6,Easter_Bunny_Hills,Jelly,27,120000,: 60,Double jelly-removebg-preview.png,60,Easy,2,
71,6,Easter_Bunny_Hills,Order,25,2500,: 52,Multilayered frosting 2024 FTUE order.png,52,Somewhat easy,3,
72,6,Easter_Bunny_Hills,Jelly,25,114000,: 57,Double jelly-removebg-preview.png,57,Hard,6,
73,6,Easter_Bunny_Hills,Jelly,22,156000,: 26 : 39,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,26|39,Medium,4,
74,6,Easter_Bunny_Hills,Ingredients,24,30000,: 3,Gummi Dragon order.png,3,Somewhat easy,3,
75,6,Easter_Bunny_Hills,Jelly,27,84000,: 42,Double jelly-removebg-preview.png,42,Very easy,1,
76,6,Easter_Bunny_Hills,Ingredients,20,4000,: 1,Gummi Dragon order.png,1,Very easy,1,
77,6,Easter_Bunny_Hills,Ingredients,27,20000,: 2,Gummi Dragon order.png,2,Very easy,1,
78,6,Easter_Bunny_Hills,Jelly,30,114000,: 44,Double jelly-removebg-preview.png,44,Medium,4,
79,6,Easter_Bunny_Hills,Ingredients,25,40000,: 4,Gummi Dragon order.png,4,Easy,2,"This was considered the hardest level (before it was nerfed) of the episode, along with level 70."
80,6,Easter_Bunny_Hills,Order,24,2200,: 37 : 8,Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png,37|8,Medium,4,
81,7,Bubblegum_Bridge,Ingredients,26,20000,: 2,Gummi Dragon order.png,2,Medium,4,is introduced
82,7,Bubblegum_Bridge,Order,24,10000,: 115,Icing order new.png,115,Somewhat hard,5,
83,7,Bubblegum_Bridge,Jelly,20,40000,: 37,Single jelly-removebg-preview (1).png,37,Somewhat easy,3,
84,7,Bubblegum_Bridge,Ingredients,21,50000,: 5,Gummi Dragon order.png,5,Medium,4,
85,7,Bubblegum_Bridge,Order,23,6000,: 41,Icing order new.png,41,Hard,6,is introduced
86,7,Bubblegum_Bridge,Jelly,23,75000,: 37,Double jelly-removebg-preview.png,37,Medium,4,
87,7,Bubblegum_Bridge,Order,20,5500,: 26 : 29,Icing order new.png|Liquorice Swirl order.png,26|29,Medium,4,
88,7,Bubblegum_Bridge,Jelly,23,120000,: 59,Double jelly-removebg-preview.png,59,Hard,6,
89,7,Bubblegum_Bridge,Ingredients,25,60000,: 6,Gummi Dragon order.png,6,Very easy,1,
90,7,Bubblegum_Bridge,Order,26,3000,: 24 : 175,Icing order new.png|Purplecandy order.png,24|175,Extremely hard,8,First level with an extremely hard difficulty
91,7,Bubblegum_Bridge,Jelly,23,100000,: 12 : 42,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|42,Easy,2,
92,7,Bubblegum_Bridge,Order,20,10000,: 38,Liquorice Swirl order.png,38,Somewhat easy,3,
93,7,Bubblegum_Bridge,Ingredients,20,40000,: 4,Gummi Dragon order.png,4,Easy,2,
94,7,Bubblegum_Bridge,Jelly,22,10000,: 38,Double jelly-removebg-preview.png,38,Very easy,1,
95,7,Bubblegum_Bridge,Order,25,50000,: 71 : 19,Icing order new.png|Liquorice Swirl order.png,71|19,Medium,4,
96,8,Salty_Canyon,Order,25,10000,: 9,Candy Bomb order 2.png,9,Easy,2,Introduction to and candy bomb order
97,8,Salty_Canyon,Jelly,30,72000,: 63,Single jelly-removebg-preview (1).png,63,Very easy,1,Bomb Cooler booster unlockedThe level was shaped like a candy bomb.
98,8,Salty_Canyon,Order,30,20500,: 21 : 16,Candy Bomb order 2.png|Striped2 (trans).png,21|16,Easy,2,
99,8,Salty_Canyon,Jelly,25,114000,: 23 : 46,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,23|46,Easy,2,
100,8,Salty_Canyon,Ingredients,28,30000,: 3,Gummi Dragon order.png,3,Somewhat easy,3,The 1st milestone level in Reality
101,8,Salty_Canyon,Order,25,30000,: 28,Liquorice Swirl order.png,28,Very easy,1,
102,8,Salty_Canyon,Ingredients,30,10000,: 1,Gummi Dragon order.png,1,Very easy,1,
103,8,Salty_Canyon,Jelly,18,80000,: 40,Double jelly-removebg-preview.png,40,Somewhat easy,3,Similar to level 2359
104,8,Salty_Canyon,Order,25,50000,: 5,Jelly Fish order 2.png,5,Easy,2,is unofficially introduced
105,8,Salty_Canyon,Jelly,30,124000,: 62,Double jelly-removebg-preview.png,62,Medium,4,
106,8,Salty_Canyon,Ingredients,28,30000,: 1,Gummi Dragon order.png,1,Easy,2,
107,8,Salty_Canyon,Jelly,28,132000,: 2 : 66,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,2|66,Very hard,7,
108,8,Salty_Canyon,Order,20,2800,: 28,Liquorice Swirl order.png,28,Somewhat easy,3,
109,8,Salty_Canyon,Ingredients,30,240000,: 24,Gummi Dragon order.png,24,Very easy,1,
110,8,Salty_Canyon,Jelly,30,140000,: 70,Double jelly-removebg-preview.png,70,Somewhat hard,5,
111,9,Peppermint_Palace,Jelly,25,10000,: 23 : 24,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,23|24,Very easy,1,is introduced
112,9,Peppermint_Palace,Order,28,10000,: 80 : 20,Bluecandy order.png|Candy Bomb order 2.png,80|20,Easy,2,
113,9,Peppermint_Palace,Order,25,10000,: 30 : 50,Liquorice Swirl order.png|Candy Bomb order 2.png,30|50,Easy,2,
114,9,Peppermint_Palace,Ingredients,28,10000,: 3,Gummi Dragon order.png,3,Medium,4,
115,9,Peppermint_Palace,Order,30,10000,: 45 : 25,Icing order new.png|Liquorice Swirl order.png,45|25,Somewhat easy,3,
116,9,Peppermint_Palace,Jelly,24,10000,: 43 : 12,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,43|12,Very easy,1,
117,9,Peppermint_Palace,Ingredients,25,10000,: 5,Gummi Dragon order.png,5,Medium,4,
118,9,Peppermint_Palace,Order,28,10000,: 30 : 52,Liquorice Swirl order.png|Icing order new.png,30|52,Easy,2,
119,9,Peppermint_Palace,Jelly,26,10000,: 22 : 34,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,22|34,Somewhat hard,5,
120,9,Peppermint_Palace,Ingredients,27,10000,: 6,Gummi Dragon order.png,6,Somewhat hard,5,
121,9,Peppermint_Palace,Order,27,10000,: 42 : 16 : 20,Icing order new.png|Liquorice Swirl order.png|Candy Bomb order 2.png,42|16|20,Somewhat easy,3,
122,9,Peppermint_Palace,Ingredients,25,10000,: 2,Gummi Dragon order.png,2,Very easy,1,
123,9,Peppermint_Palace,Jelly,24,10000,: 18 : 37,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,18|37,Hard,6,
124,9,Peppermint_Palace,Order,23,10000,: 20 : 80 : 80,Candy Bomb order 2.png|Greencandy order.png|Bluecandy order.png,20|80|80,Somewhat hard,5,
125,9,Peppermint_Palace,Ingredients,24,52000,: 5,Gummi Dragon order.png,5,Hard,6,
126,10,Wafer_Wharf,Jelly,30,86000,: 43,Double jelly-removebg-preview.png,43,Very easy,1,is officially introduced Formerly first level
127,10,Wafer_Wharf,Ingredients,20,40000,: 4,Gummi Dragon order.png,4,Easy,2,
128,10,Wafer_Wharf,Order,27,7600,: 18 : 46 : 9,Yellowcandy order.png|Icing order new.png|Liquorice Swirl order.png,18|46|9,Somewhat hard,5,
129,10,Wafer_Wharf,Jelly,30,114000,: 12 : 45,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|45,Medium,4,
130,10,Wafer_Wharf,Ingredients,21,180000,: 18,Gummi Dragon order.png,18,Somewhat easy,3,
131,10,Wafer_Wharf,Jelly,21,57000,: 27 : 15,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,27|15,Medium,4,Lucky Candy booster unlocked
132,10,Wafer_Wharf,Order,25,18900,: 9 : 80 : 80,Candy Bomb order 2.png|Bluecandy order.png|Greencandy order.png,9|80|80,Very hard,7,Formerly the seventh and final in a row
133,10,Wafer_Wharf,Jelly,25,90000,: 45,Double jelly-removebg-preview.png,45,Easy,2,is introduced
134,10,Wafer_Wharf,Order,24,13500,: 50 : 55 : 55,Liquorice Swirl order.png|Orangecandy order.png|Purplecandy order.png,50|55|55,Somewhat easy,3,
135,10,Wafer_Wharf,Ingredients,27,40000,: 4,Gummi Dragon order.png,4,Easy,2,
136,10,Wafer_Wharf,Order,25,16500,: 18 : 120 : 22,Candy Bomb order 2.png|Bluecandy order.png|Liquorice Swirl order.png,18|120|22,Medium,4,
137,10,Wafer_Wharf,Jelly,30,100000,: 21 : 36,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,21|36,Somewhat hard,5,
138,10,Wafer_Wharf,Ingredients,27,90000,: 9,Gummi Dragon order.png,9,Somewhat easy,3,
139,10,Wafer_Wharf,Jelly,26,90000,: 45,Double jelly-removebg-preview.png,45,Somewhat hard,5,
140,10,Wafer_Wharf,Order,20,4800,: 64,Icing order new.png,64,Very hard,7,
141,11,Gingerbread_Glade,Jelly,30,81000,: 81,Single jelly-removebg-preview (1).png,81,Very easy,1,is introduced
142,11,Gingerbread_Glade,Ingredients,27,100000,: 10,Gummi Dragon order.png,10,Very easy,1,"Used to be part of the alphabetical level type series, I is for ingredients"
143,11,Gingerbread_Glade,Jelly,30,68000,: 36 : 16,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,36|16,Easy,2,"Used to be part of the alphabetical level type series, J is for jelly"
144,11,Gingerbread_Glade,Order,28,12900,: 121,Icing order new.png,121,Extremely hard,8,"Was once the final in Reality until Cereal Sea was released.Formerly part of the alphabetical level type series, M is fo"
145,11,Gingerbread_Glade,Jelly,30,10000,: 14,Single jelly-removebg-preview (1).png,14,Easy,2,"Formerly part of the alphabetical level type series, T is for timed"
146,11,Gingerbread_Glade,Ingredients,28,250000,: 25,Gummi Dragon order.png,25,Medium,4,
147,11,Gingerbread_Glade,Order,24,7500,: 50,Icing order new.png,50,Very hard,7,"Known as the hardest level, but it was nerfed"
148,11,Gingerbread_Glade,Ingredients,27,100000,: 10,Gummi Dragon order.png,10,Hard,6,
149,11,Gingerbread_Glade,Jelly,26,73000,: 73,Single jelly-removebg-preview (1).png,73,Extremely hard,8,
150,11,Gingerbread_Glade,Order,32,2200,: 28,Liquorice Swirl order.png,28,Very easy,1,
151,11,Gingerbread_Glade,Jelly,30,72000,: 72,Single jelly-removebg-preview (1).png,72,Somewhat easy,3,is introduced
152,11,Gingerbread_Glade,Order,24,7800,: 78,Icing order new.png,78,Easy,2,
153,11,Gingerbread_Glade,Ingredients,30,20000,: 2,Gummi Dragon order.png,2,Hard,6,
154,11,Gingerbread_Glade,Ingredients,30,50000,: 5,Gummi Dragon order.png,5,Hard,6,
155,11,Gingerbread_Glade,Jelly,30,140000,: 70,Double jelly-removebg-preview.png,70,Very hard,7,
156,12,Pastille_Pyramid,Order,30,16800,: 168,Icing order new.png,168,Very easy,1,Former introduction to - Bubblegum Troll booster unlocked. is introduced
157,12,Pastille_Pyramid,Jelly,32,130000,: 65,Double jelly-removebg-preview.png,65,Medium,4,
158,12,Pastille_Pyramid,Ingredients,35,20000,: 2,Gummi Dragon order.png,2,Somewhat easy,3,
159,12,Pastille_Pyramid,Order,22,10000,: 52,Icing order new.png,52,Somewhat easy,3,
160,12,Pastille_Pyramid,Jelly,27,100000,: 48,Double jelly-removebg-preview.png,48,Medium,4,
161,12,Pastille_Pyramid,Ingredients,26,10000,: 1,Gummi Dragon order.png,1,Variable,,
162,12,Pastille_Pyramid,Order,28,7500,: 7,Candy Bomb order 2.png,7,Very easy,1,
163,12,Pastille_Pyramid,Order,30,20000,: 83 : 12 : 7,Icing order new.png|Liquorice Swirl order.png|Chocolate order.png,83|12|7,Somewhat hard,5,
164,12,Pastille_Pyramid,Ingredients,30,110000,: 11,Gummi Dragon order.png,11,Medium,4,
165,12,Pastille_Pyramid,Order,25,5000,: 11,Chocolate order.png,11,Somewhat easy,3,"Used to be one of the hardest levels in the game, but got heavily nerfed."
166,12,Pastille_Pyramid,Jelly,30,114000,: 57,Double jelly-removebg-preview.png,57,Extremely hard,8,
167,12,Pastille_Pyramid,Jelly,18,80000,: 15,Double jelly-removebg-preview.png,15,Hard,6,"Used to be one of the hardest levels in the game, but got heavily nerfed."
168,12,Pastille_Pyramid,Order,30,3000,: 8 : 8 : 8,Chocolate order.png|Candy Bomb order 2.png|Yellowcandy order.png,8|8|8,Very easy,1,is introduced is introduced
169,12,Pastille_Pyramid,Jelly,25,88000,: 6 : 51,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,6|51,Extremely hard,8,
170,12,Pastille_Pyramid,Ingredients,25,140000,: 14,Gummi Dragon order.png,14,Medium,4,
171,13,Cupcake_Circus,Ingredients,30,30000,: 3,Gummi Dragon order.png,3,Very easy,1,is introduced;Former introduction of
172,13,Cupcake_Circus,Order,30,10000,: 28 : 15,Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png,28|15,Very easy,1,Formerly first level to have only one jelly square
173,13,Cupcake_Circus,Jelly,27,74000,: 20 : 49,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,20|49,Somewhat easy,3,
174,13,Cupcake_Circus,Order,28,30000,: 67 : 19,Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png,67|19,Medium,4,
175,13,Cupcake_Circus,Jelly,28,75000,: 65,Double jelly-removebg-preview.png,65,Medium,4,
176,13,Cupcake_Circus,Ingredients,30,30000,: 7,Gummi Dragon order.png,7,Very easy,1,
177,13,Cupcake_Circus,Order,30,5000,: 12 : 20,Chocolate order.png|Liquorice Swirl order.png,12|20,Somewhat easy,3,
178,13,Cupcake_Circus,Jelly,27,75000,: 53,Double jelly-removebg-preview.png,53,Somewhat easy,3,
179,13,Cupcake_Circus,Order,28,20000,: 15 : 120,Chocolate order.png|Multilayered frosting 2024 FTUE order.png,15|120,Very hard,7,
180,13,Cupcake_Circus,Ingredients,23,25000,: 4,Gummi Dragon order.png,4,Hard,6,
181,13,Cupcake_Circus,Jelly,30,126000,: 63,Double jelly-removebg-preview.png,63,Extremely hard,8,
182,13,Cupcake_Circus,Order,24,10000,: 36 : 10,Liquorice Swirl order.png|Redcandy order.png,36|10,Very easy,1,
183,13,Cupcake_Circus,Ingredients,29,100000,: 10,Gummi Dragon order.png,10,Extremely hard,8,
184,13,Cupcake_Circus,Order,19,5000,: 40 : 29 : 24,Orangecandy order.png|Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png,40|29|24,Medium,4,Used to be the final level of Hell's Cluster
185,13,Cupcake_Circus,Jelly,27,60000,: 71,Single jelly-removebg-preview (1).png,71,Somewhat easy,3,
186,14,Caramel_Cove,Jelly,25,70000,: 16 : 35,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,16|35,Very easy,1,is introduced
187,14,Caramel_Cove,Order,25,25000,: 13,Chocolate order.png,13,Easy,2,
188,14,Caramel_Cove,Ingredients,25,50000,: 5,Gummi Dragon order.png,5,Medium,4,
189,14,Caramel_Cove,Order,30,5300,: 71 : 25,Multilayered frosting 2024 FTUE order.png|Chocolate order.png,71|25,Very easy,1,
190,14,Caramel_Cove,Jelly,27,98000,: 49,Double jelly-removebg-preview.png,49,Hard,6,
191,14,Caramel_Cove,Order,22,6000,: 9 : 15 : 36,Chocolate order.png|Wrapped2 (trans).png|Multilayered frosting 2024 FTUE order.png,9|15|36,Easy,2,
192,14,Caramel_Cove,Jelly,30,104000,: 49,Double jelly-removebg-preview.png,49,Hard,6,Used to not spawn any candies
193,14,Caramel_Cove,Jelly,25,130000,: 65,Double jelly-removebg-preview.png,65,Easy,2,
194,14,Caramel_Cove,Ingredients,23,40000,: 4,Gummi Dragon order.png,4,Very easy,1,
195,14,Caramel_Cove,Jelly,30,72000,: 49 : 3,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,49|3,Very hard,7,
196,14,Caramel_Cove,Order,30,50000,: 24 : 56 : 20,Chocolate order.png|Multilayered frosting 2024 FTUE order.png|Wrapped2 (trans).png,24|56|20,Very easy,1,
197,14,Caramel_Cove,Jelly,22,96000,: 48,Double jelly-removebg-preview.png,48,Very hard,7,
198,14,Caramel_Cove,Ingredients,22,50000,: 4,Gummi Dragon order.png,4,Easy,2,
199,14,Caramel_Cove,Order,30,15000,: 150,Chocolate order.png,150,Very easy,1,
200,14,Caramel_Cove,Jelly,30,84000,: 42,Double jelly-removebg-preview.png,42,Very hard,7,Inspiration of Sweet Surprise. The 2nd milestone level in Reality
201,15,Sweet_Surprise,Jelly,18,50000,: 69,Double jelly-removebg-preview.png,69,Easy,2,
202,15,Sweet_Surprise,Order,17,7900,: 34 : 11,Multilayered frosting 2024 FTUE order.png|Chocolate order.png,34|11,Somewhat hard,5,
203,15,Sweet_Surprise,Ingredients,15,40000,: 4,Gummi Dragon order.png,4,Very easy,1,
204,15,Sweet_Surprise,Jelly,24,102000,: 53,Double jelly-removebg-preview.png,53,Somewhat easy,3,
205,15,Sweet_Surprise,Order,22,10000,: 30 : 80 : 10,Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png|Chocolate order.png,30|80|10,Nearly impossible,9,
206,15,Sweet_Surprise,Ingredients,15,50000,: 10,Gummi Dragon order.png,10,Very easy,1,
207,15,Sweet_Surprise,Jelly,18,25000,: 49,Double jelly-removebg-preview.png,49,Very hard,7,
208,15,Sweet_Surprise,Order,18,25000,: 64,Liquorice Swirl order.png,64,Very easy,1,
209,15,Sweet_Surprise,Ingredients,20,50000,: 9,Gummi Dragon order.png,9,Easy,2,
210,15,Sweet_Surprise,Jelly,21,50000,: 63,Double jelly-removebg-preview.png,63,Very hard,7,
211,15,Sweet_Surprise,Order,15,11500,: 55 : 10,Multilayered frosting 2024 FTUE order.png|Wrapped2 (trans).png,55|10,Somewhat easy,3,
212,15,Sweet_Surprise,Ingredients,20,30000,: 3,Gummi Dragon order.png,3,Medium,4,
213,15,Sweet_Surprise,Jelly,15,90000,: 54,Double jelly-removebg-preview.png,54,Easy,2,Was one of the hardest levels in the game until it was nerfed
